"ServerName","Processor","Model","Manufacturer","PhysicalCores","CPU_L2CacheSize","CPU_L3CacheSize","Sockets","LogicalCores","OS_Name","OS_Version","TotalPhysical_Memory_GB","TotalVirtual_Memory_MB","TotalVisable_Memory_MB"
"CP-SQLDEV-01","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLDEV-01","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLDEV-02","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #000","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLDEV-02","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #001","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLDEV-03","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #000","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLDEV-03","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #001","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLQA-01","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #000","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLQA-01","Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","2","0","0","CPU #001","2","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLQA-02","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #000","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
"CP-SQLQA-02","Intel(R) Xeon(R) Gold 6254 CPU @ 3.10GHz","Intel64 Family 6 Model 58 Stepping 0","GenuineIntel","1","0","0","CPU #001","1","Microsoft Windows Server 2016 Datacenter","10.0.14393","16","33","16"
